sentence,sentiment,lem_words,lem_tags,word_tags
As a student in NYU i need a place to eat after a hard day of work so usually i just go to any indian restraunt near by. ,1,student nyu need place eat hard day work so usually just go indian restraunt,NN NN VB NN VB JJ NN NN RB RB RB VB JJ NN,"['student/NN', 'nyu/NN', 'need/VB', 'place/NN', 'eat/VB', 'hard/JJ', 'day/NN', 'work/NN', 'so/RB', 'usually/RB', 'just/RB', 'go/VB', 'indian/JJ', 'restraunt/NN']"
"Great bagels, spreads and a good place to hang out in.",1,great bagel spread good place hang,JJ NN NN JJ NN VB,"['great/JJ', 'bagel/NN', 'spread/NN', 'good/JJ', 'place/NN', 'hang/VB']"
"Better than the bagel shop on the corner, but not worth going out of your way for, in my opinion.",1,better bagel shop corner not worth go way opinion,JJ NN NN JJ RB JJ VB NN NN,"['better/JJ', 'bagel/NN', 'shop/NN', 'corner/JJ', 'not/RB', 'worth/JJ', 'go/VB', 'way/NN', 'opinion/NN']"
enough said!,1,enough say,RB VB,"['enough/RB', 'say/VB']"
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",1,many other reviewer notice order be often slow arrive be particularly true evening be not problem lunch time,JJ JJ NN VB NN VB RB JJ VB VB RB JJ NN VB RB NN NN NN,"['many/JJ', 'other/JJ', 'reviewer/NN', 'notice/VB', 'order/NN', 'be/VB', 'often/RB', 'slow/JJ', 'arrive/VB', 'be/VB', 'particularly/RB', 'true/JJ', 'evening/NN', 'be/VB', 'not/RB', 'problem/NN', 'lunch/NN', 'time/NN']"
However it is the ONLY Taiwanese restaurant in town.,1,however be only taiwanese restaurant town,RB VB JJ JJ NN NN,"['however/RB', 'be/VB', 'only/JJ', 'taiwanese/JJ', 'restaurant/NN', 'town/NN']"
"I love Ess-a-bagel, but I live on the west side, so I often go to Murray's for convenience.",1,love ess bagel live west side often go murray convenience,NN RB NN VB JJ NN RB VB VB NN,"['love/NN', 'ess/RB', 'bagel/NN', 'live/VB', 'west/JJ', 'side/NN', 'often/RB', 'go/VB', 'murray/VB', 'convenience/NN']"
"Rao is a good restaurant, but it's nothing special.",1,rao be good restaurant nothing special,NN VB JJ NN NN JJ,"['rao/NN', 'be/VB', 'good/JJ', 'restaurant/NN', 'nothing/NN', 'special/JJ']"
I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. ,1,stumble second floor walk friday be friend town,VB JJ NN VB NN VB NN NN,"['stumble/VB', 'second/JJ', 'floor/NN', 'walk/VB', 'friday/NN', 'be/VB', 'friend/NN', 'town/NN']"
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",1,be bit pack weekend vibe be good be best french food find area,VB NN VB NN NN VB JJ VB JJ JJ NN VB NN,"['be/VB', 'bit/NN', 'pack/VB', 'weekend/NN', 'vibe/NN', 'be/VB', 'good/JJ', 'be/VB', 'best/JJ', 'french/JJ', 'food/NN', 'find/VB', 'area/NN']"
I had Filet Mignon with garlic mash.,1,have filet mignon garlic mash,VB NN NN NN NN,"['have/VB', 'filet/NN', 'mignon/NN', 'garlic/NN', 'mash/NN']"
"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.",1,ve have lunch buffet chennai couple time have be neighborhood,NN VB NN NN NN NN NN VB VB NN,"['ve/NN', 'have/VB', 'lunch/NN', 'buffet/NN', 'chennai/NN', 'couple/NN', 'time/NN', 'have/VB', 'be/VB', 'neighborhood/NN']"
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,decor place be very diner ish kind place expect east village not romantic just simple small sparse,NN NN VB RB NN NN NN NN VB JJ NN RB JJ RB JJ JJ JJ,"['decor/NN', 'place/NN', 'be/VB', 'very/RB', 'diner/NN', 'ish/NN', 'kind/NN', 'place/NN', 'expect/VB', 'east/JJ', 'village/NN', 'not/RB', 'romantic/JJ', 'just/RB', 'simple/JJ', 'small/JJ', 'sparse/JJ']"
less wait time for me!,1,less wait time,JJ JJ NN,"['less/JJ', 'wait/JJ', 'time/NN']"
P.S. Please don't tell anyone in my family i eat there.,1,please don tell anyone family eat there,VB VB NN NN NN NN RB,"['please/VB', 'don/VB', 'tell/NN', 'anyone/NN', 'family/NN', 'eat/NN', 'there/RB']"
I came into the city to try out this restaurant because a friend had recommended it to my husband.,1,come city try out restaurant friend have recommend husband,VB NN VB RB NN NN VB VB NN,"['come/VB', 'city/NN', 'try/VB', 'out/RB', 'restaurant/NN', 'friend/NN', 'have/VB', 'recommend/VB', 'husband/NN']"
I asked the chef what he recommends and he asked me if I like Uni. (,1,ask chef recommend ask uni,VB NN VB VB JJ,"['ask/VB', 'chef/NN', 'recommend/VB', 'ask/VB', 'uni/JJ']"
What's the difference between the two?,1,difference,NN,['difference/NN']
